Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Sr. Compliance Data Analyst,$37K-$66K (Glassdoor est.),"Main Objective: The Compliance Data Analyst Sr (DA) Specialist will be responsible for the administration of the Risk Management & Compliance (RM&C) DA program to provide actionable insights through data and analysis to achieve business objectives.

Essential Duties and Responsibilities:

Assists in the administration of audit tools for workpaper documentation and issues tracking.

Supports the Global Compliance Audit team to embed DA in the audit process in order to facilitate effective risk-based audit approach.

Collaborates with Regional Compliance Officers (RCO) and other RM&C leaders in the development and implementation of global, regional and subsidiary continuous monitoring activities.

Collaborates with Regional Compliance Officers (RCO) and other RM&C leaders and their business partners to understand business goals, objectives and challenges, and provides reliable and accurate reports, insights, and analysis to support informed decision making.

Analyzes and interprets complex data sets and communicates trends and findings to RCOs and other RM&C leaders as well as other stakeholders and business partners.

Performs analysis of structured and unstructured data to solve complex business and department problems utilizing advanced statistical techniques and mathematical analyses.

Solicits feedback from stakeholders to continuously evaluate and improve the quality of reports and dashboards.

Assists in the identification and addressing opportunities for process enhancements as well as new analytical opportunities.

Partners with Regional Compliance Officers (RCO) and other RM&C leaders to identify opportunities where DA can be utilized to assist the business gain insights with advance analytics tools and solutions.

Supports the development and implementation of various RM&C department initiatives aimed at enhancing the effectiveness of the company’s global compliance program.

Delivers training to RM&C team members and other stakeholders on effectively using analytic tools and solutions.

Develops strong relationships with relevant members of the Global Information Services (GIS) department and other DA personnel from other departments to leverage expertise and foster collaboration.

Demonstrates strong ability to communicate technical concepts and solutions to business partners.

Incidental Duties:

The above statements describe the general nature and level of work being performed in this job. They are not intended to be an exhaustive list of all duties, and indeed additional responsibilities may be assigned, as required, by management.

Education and Experience:

Bachelor's Degree required in Business, Data Science, Data Analytics or a related field.

5 years of experience in Legal, Compliance, Risk, Internal Audit or working with IT systems related to Legal, Compliance, Risk or Internal Audit required; preferably within the healthcare/life sciences/biotech industry.

Strong knowledge and experience in advance analytics tools and languages to analyze large data sets from multiple data sources preferred.

Expertise in visualization tool e.g., Microsoft PowerBI, Tableau preferred.

Ability to communicate in an additional language preferred.

Knowledge and Skill Requirements/Specialized Courses and/or Training:

Professional written, verbal, analytical, organizational, problem solving and presentational skills.
Ability to understand and develop business process and controls.
Comfortable working in situations with no clear answer.
Ability to prioritize projects and responsibilities.
Self-starter and willingness to contribute where there is a need within the team.
Ability to adapt in a dynamic and high-growth environment.
Knowledge of laws, regulations, and industry guidance applicable to a global healthcare company.

Machine, Tools, and/or Equipment Skills:

Fully proficient use of the Microsoft Office Suite: Outlook, Visio, Excel, Word, Power Point and various and specialized software.

All qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.

Nearest Major Market: Naples",3.0,"Arthrex, Inc
3.0","Naples, FL",-1,Unknown,-1,Company - Public,-1,-1,Less than $1 million (USD),-1
Data Analyst,$37K-$66K (Glassdoor est.),"Responsibilities: *
Oversee all marketing data and customer data intake across all physical and digital marketing channels
Analyze all marketing data and customer data
Coordinate with intake team and marketing team to improve customer data intake process and cleanliness
Help develop dashboards to improve view of company and customer data
Organize and present data to team regularly
Make informed recommendations based on data analysis and results
Research and analyze market and customer data to map competitive landscape
Engage with marketing to continuously improve overall brand, brand presence and customer journey
Contribute to team effort by accomplishing related results as needed
Contribute to company culture by engaging with colleagues and boosting employee morale
Maintain continuity among work teams by documenting and communicating actions, irregularities, and continuing needs
Qualifications: *
Minimum bachelor’s degree
1-4 years minimum experience in marketing and/or data analysis
Skills using Microsoft Office and other data analysis platforms
Salesforce Experience/Certification is preferred but not required
Exceptional data analysis skills, written and verbal communication skills, and public speaking skills. Known as creative, organized and proactive
Demonstrates job history showing commitment to previous employees and employer
Job Type: Full-time

Schedule:
Monday to Friday
Experience:
Marketing or Data Analyst: 1 year (Required)
Salesforce: 1 year (Preferred)
Education:
Bachelor's (Required)
Location:
Lafayette, LA 70508 (Required)
Work Remotely:
No",-1,HR Solutions for Company,"Lafayette, LA",-1,-1,-1,-1,-1,-1,-1,-1
Senior Data Warehouse Analyst,$37K-$66K (Glassdoor est.),"Posted: 7/24/2020

Job Status: Full Time

Job Reference #: 1191b753-b7d8-403d-8bc1-68f822eb8753
Job Description
Rethink what’s possible with SwitchThink! SwitchThink Solutions is an IT Services CUSO from Desert Financial.
As a collaborative partner for innovation, SwitchThink Solutions offers technology solutions that help credit unions achieve their transformational goals. Our knowledgeable development, infrastructure, and IT operations experts work hand-in-hand with our clients to maximize the benefits of their technology and speed their results.

Who you are:
A hardworking analyst with a flair for consulting with and supporting client with their enterprise reporting, data integration, and data analytic needs, including the development of dashboards. You are motivated by the opportunity to work closely with clients to analyze and interpret data in support of identifying market and business trends, conduct root cause analyses of business problems and provide strategic suggestions for improvement. You are a proactive thinker that is focused on identifying services and solutions that can enhance the offering we present to clients.

A typical week might include the following:
Consulting with clients to understand their unique business problems, then with the utilization data recommending solutions that will ultimately assist in solving the business problem by defining data/reporting requirements and goals.

Designing and developing solutions that enable clients to make decisions based on data utilizing dashboards and self-service analytical reports

Providing support with troubleshooting and resolving reporting, data warehouse and ETL related issues

Assisting in establishing best-practices and development of content that improve the efficiency and adoption of the data platform in ways that support strategic initiatives and drive business results.

Planning for future state of the environment to increase functionality, improve efficiencies, support refresh cycles, and/or reduce operational costs

Performing other job-related duties as assigned.

This role might be right for you if you have:
A Bachelor's Degree in computer science, math or related field

8 years experience in business intelligence role

Strong understanding of relational database structures, theories, principals, and practices

Experience working with Talend or similar ETL tools

Visa Sponsorship:
We are interested in every qualified candidate who is eligible to work in the United States. However, we are not able to sponsor visas, i.e. H-1B or TN Visas.

Bonus Points:
5 years of experience in a quantitative/analysis/reporting role within the Financial Services industry

5 years building dashboards and reports in Power BI or similar platform

Experience working in a DB2 environment

Experience working with Python or another scripting language

About Us
We are considered leaders in the local credit union space, and we are growing like crazy. We’ve got a culture focused on smarts, kindness, continuous learning...and our people love it. A full 93% of our employees would recommend us to their friends. Come find out why! Learn more at jobs.desertfinancial.com.

We are proud to be an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

#IND456",3.2,"Desert Financial Federal Credit Union
3.2","Phoenix, AZ",-1,1001 to 5000 Employees,1939,Company - Public,Banks & Credit Unions,Finance,$50 to $100 million (USD),-1
Data Analyst,$37K-$66K (Glassdoor est.),"Data Analyst

Job Details
Job Location
Yakima - Yakima, WA
Position Type
Full Time
Education Level
Bachelor's degree
Job Shift
Day
Job Category
Information Technology
Description
Who is Comprehensive Healthcare?
Comprehensive Healthcare provides innovative behavioral health and integrated healthcare services to clients of all ages. We take pride in our creative and collaborative work environment and in delivering clinically excellent, trauma-informed, recovery-oriented services.

What are we looking for in a Data Analyst?
As a member of the Information Services department, the Data Analyst supports Comprehensive’s technology and business initiatives by coordinating the collection, storage, and utilization of essential data. This position will work closely with leadership and other staff to determine data needs for specific projects or ad hoc requests, and then gather, interpret, and present the information to the team. The work of the Data Analyst will impact day-to-day clinic operations as well as business decisions, so a high degree of accuracy, thoroughness, and timeliness are essential. Previous experience performing data analytics in the healthcare field is required. The Data Analyst will work on-site in our Yakima office.

Data Analyst duties may include:
integrating data from internal & external sources and performing extract, transform, and load operations to data in various applications
analyzing data to identify and interpret patterns or trends in data sets
performing data audits to identify problem areas & implementing strategies to optimize data integrity and process improvements
assisting with the design & implementation of database warehouse structure and developing standards for the design of data elements
supporting the implementation, testing, and validation of data & software systems
assisting with ongoing data architecture processes & governance
providing Tier II technical support to employees
documenting all work as it is completed
Qualifications:
Bachelor’s degree in computer science, data analytics, or related field
Three years of experience with data analysis within the healthcare industry
What Comprehensive Healthcare Can Offer You
Training and Development
A variety of career opportunities in a wide range of settings with room for mobility and promotion
Regular training opportunities including support, supervision, and consultation in implementing evidence-based services and programs
Innovative Program & Services
A strong reputation for providing quality, evidence-based services within a collaborative multi-disciplinary team environment
Innovative, forward-looking leadership that seeks to thrive in an ever-changing healthcare environment
Joint Commission-accredited organization committed to continuous quality improvement
Established partnerships with major research universities and other community and healthcare providers to implement cutting-edge treatment programs and services
Excellent Benefits
Competitive salaries within our communities and industry
Healthcare coverage for employee and qualified family members
Generous vacation, paid holiday and sick leave policies
Access to Employee Assistance Program services
Agency-funded retirement plan with contributions equal to 5% of compensation
Additional retirement investment opportunities with a 50% investment match of up to 4% of compensation
Agency-funded life and disability insurance program
Equal Opportunity Employer
Comprehensive Healthcare is proud to be an equal opportunity employer. We do not discriminate based on race, sex, age, color, religion, national origin, sexual orientation, gender identity or expression, marital status, veteran status, disability status, or any other basis prohibited by federal, state, or local law. We value the diverse perspectives and strengths that our employees bring to the workplace and we encourage individuals from underrepresented groups to apply for our positions. The Human Resources department offers accommodations and assistance for the application and interview process; please contact us at (509) 575-4084 to make arrangements.",2.6,"Comprehensive Healthcare
2.6","Yakima, WA",-1,501 to 1000 Employees,1971,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
eCommerce Product Data Analyst,$37K-$66K (Glassdoor est.),"SUMMARY
Provide support for internet catalog product data management of McCoy’s and suppliers’ products. Oversee new data set integrations from both internal and external sources to allow the look-up and sale of company products online. Collaborate with technology development and project teams to refine, adapt, and apply data for use online. Work with merchants, suppliers, and third-party providers to ensure that all products are properly presented on company website. Monitor and maintain all SKU data for all aspects of the company internet catalog.

ESSENTIAL DUTIES AND RESPONSIBILITIES include the following. Other duties may be assigned.

Responsible for managing all product content and product presentation online
Responsible for maintaining the company’s internet product database and files including managing data from vendors and third-party sources
Analyze and override data provided by suppliers to ensure continuous accuracy. Provide feedback and suggested changes for product data provided by vendors and third-party providers
Update and maintain internal and external catalog databases with new product additions, archiving old products and ensuring that the company’s web product presentation is accurate and complete
Maintain documentation of catalog reporting and reports to the Merchandising Team and Management as on a regular and requested basis
Work with third-party software and interfaces with McCoy’s systems to provide ease of product data transfers, validations, and updates
Research and provide information in support of Content Management System (CatMan) including data integrity, vendor and third-party interfaces(s), images and enhanced product information. Work jointly with Marketing and IS to maintain function and provide data as needed
Manages database information for the SignMaker program to include enhanced product information, signcard sizes and design, display signs, order forms, and other signage for all stores. Works closely with IS to provide feedback and testing of design and function of SignMaker program
Responsible for the comprehensive review and proofreading of individual work, and the work of other employees, to ensure accuracy and completeness
Supports Merchandising management and other team members with projects as assigned, including meeting deadlines as required
Follows Standard Operating Procedures when carrying out position responsibilities
Attends and participates in team meetings, training sessions, and company-sponsored programs as required

Requirements

QUALIFICATIONS

Associate's degree (A. A.) or equivalent from two-year college or technical school; or three to six months related experience and/or training; or equivalent combination of education and experience
Ability to read and interpret documents such as safety rules, operating and maintenance instructions, and procedure manuals. Ability to write routine reports and correspondence
Ability to speak effectively before groups and customers or employees of the organization
Ability to solve practical problems and deal with a variety of concrete variables in situations where only limited standardization exists
Ability to interpret a variety of instructions furnished in written, oral, diagram, or schedule form
Ability to resolve data integrity issues by analyzing, diagnosing, and understanding root causes using independent and sound judgment based on the collection of factual information
Ability to utilize strong communication skills with the ability to relate with all levels of experience and backgrounds of company employees
Ability to utilize strong multi-tasking, organizational, prioritization, and follow-up skills necessary for managing multiple merchandising issues and projects at one time in a professional manner, both under minimal supervision as well as in a team environment
Ability to utilize Microsoft Word & Excel, Mac21 and other 3rd party computer software applications at an intermediate level

PREFERRED QUALIFICATIONS

Prior experience working with catalog product management, preferably in the retail or building supply industry
Prior or applicable experience in data exploration, manipulation and visualization in product management

WORK AVAILABILITY

Must maintain regular and acceptable attendance at such level as is determined by management
Must be regularly available and willing to work at least 8 hours per day, 40 hours per week or such other hours per day or hours per week as the employer determines are necessary or desirable to meet business needs
Must be available and willing to work such overtime per day or per week as the employer determines is necessary or desirable to meet business needs
Must be available and willing to work such weekends and holidays as the employer determines are necessary or desirable to meet its business needs

TRAVEL REQUIREMENTS

This position requires occasional travel with overnight stays
Must meet driver’s license requirements as required by the Company
Must be able to legally obtain a rental vehicle in all states in which the company does business
Must have current auto liability insurance

PHYSICAL DEMANDS The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

While performing the duties of this job, the employee is regularly required to sit and use hands to handle or feel. The employee frequently is required to reach with hands and arms and talk or hear. The employee is occasionally required to stand and walk. The employee must occasionally lift and/or move up to 10 pounds. Specific vision abilities required by this job include close vision, color vision, and ability to adjust focus

WORK ENVIRONMENT The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

The noise level in the work environment is moderate",3.4,"McCoy's Building Supply
3.4","San Marcos, TX",-1,1001 to 5000 Employees,1927,Company - Private,Home Centers & Hardware Stores,Retail,$500 million to $1 billion (USD),-1
Data Analyst II,$37K-$66K (Glassdoor est.),"Who is Cenlar?

You are.

Employee-owners have made Cenlar one of the nation’s largest mortgage subservicers. We have achieved success by empowering people with company ownership, real programs that provide avenues for advancement, and a great atmosphere that makes everyone look forward to the workday. Get your share of our success by considering the opportunity to join our team as a Data Analyst II.

Job Summary:

Responsible for working with large and complex data sets (both internal and external data) to evaluate, recommend, and support the implementation of business strategies. Identifies and compiles data sets using a variety of tools (e.g. SQL, Access) to help predict, improve, and measure the success of key business to business outcomes. Responsible for documenting data requirements, data collection/processing/cleaning, and exploratory data analysis; which may include utilizing statistical models/algorithms and data visualization techniques. Incumbents in this role may often be referred to as Data Scientists.

Responsibilities:
Day-to-day actions are focused on administering defined procedures, analysis and report preparation.
Commands knowledge of data elements across the enterprise and industry – definitions, lineage and usage
Executes creation of tabular operational reports and aggregation reports with medium to high complexity.
Commands intermediate to expert level t-SQL coding proficiency
Performs data mapping for systems integration, data provisioning, and data consumption
Responsible for documenting metadata, data lineage, data definitions and business glossary entries.
Handles basic data transformation tasks such as date and decimal formatting, rounding of numeric values, and conversion of numeric values to percentages.
Has intermediate to expert level SSIS ETL build proficiency
Works with Data stewards to enforce adherence to standards for enhancements and new repositories.
Handles more complicated report requests, data visualizations, forecasting, regression modeling, sequencing (e.g. Fibonacci or similar) and trend analysis.
Can deduce portfolio or market trends from reports or chart analysis.
Understands business logic for aggregation and analysis services.
Can perform data transformation and can produce dimensional reports
Can perform basic data profiling activities, understands cardinality
Helps to define guidelines for data management, governance and reporting
May direct day-to-day work of employees, but will not typically have formal management role.
Individual at this level is expected to use some independence of thought but to refer more complex problems to supervisors or other experts.
Individual would be expected to contribute to work flow or process change and redesign and to form a strong basic understanding of the specific product or process.
Qualifications:
Typically exhibits strong executional capabilities and is beginning to take on more responsibility.
Primary focus is on execution within defined parameters, with some expansion based on developing capabilities and or experiences. In partnership with more experienced staff.
Minimum of 5 years of experience.
Bachelor’s degree in computer science, finance, mathematics, statistics (or similar) or equivalent work experience
Total Rewards:

Cenlar FSB offers outstanding benefits which may include paid medical/dental/life insurance, 401k, employee ownership, tuition assistance, a supportive work environment, and genuine opportunities for advancement. Cenlar is a Drug Free Workplace and an Equal Employment Opportunity/Affirmative Action Employer -- M/F/D/V/SO.

Visit www.cenlar.com for more details.

Please apply online.",2.5,"Cenlar Capital Corporation
2.5","Ewing, NJ",-1,1001 to 5000 Employees,1958,Company - Private,-1,-1,$100 to $500 million (USD),-1
Operations Reporting/Data Analyst,$37K-$66K (Glassdoor est.),"The Operations Reporting/Data Analyst will be responsible for supporting the creation, evaluation and analysis of key iSolved operating metrics, measuring and benchmarking of business operations and assisting with monthly business reviews. He/she will support client tracking reports, anomaly and outlier reporting metrics and apply business logic to interpret the results. Additionally, the incumbent in this position will utilize internal and external data sources and HCM industry insight in order to maximize efficiencies and support our client base.

Essential Duties and Responsibilities:
Construct reports and data requests at the direction of the senior management team
Assist with the creation and maintenance of customized reports using data requested by senior management and conduct ad hoc analyses where needed
Assist in the collection and organization of iSolved data required for managerial and administrative decision making
Conduct data mining, data cleansing and production report generation
Assists in the analysis and implementation of strategic planning and development programs currently existing or as may be created for iSolved HCM
Communicate and articulate the results to internal personnel
Conducts problem solving analyses and recommends clear, concise solutions
Carry out all other duties as assigned by management
Required Experience:

Qualifications:
Highly proficient in Microsoft Excel
Good data collection methods and analytics
Strong analytical skills using large volume data
High-energy with a sense of urgency, accuracy, and attention to detail
The successful candidate must be comfortable working in a fast paced and rapidly changing environment
Must have good communication skills and the ability to articulate complex problems
Education and/or Experience:
BS/BA degree in a relevant field of study (or equivalent experience)
2+ years of relevant work experience in Reporting, Analysis and/or Business Intelligence.
Computer Skills:
Strong knowledge of MS Office toolset: Word, Excel, PowerPoint
Proficiency with NetSuite a plus",3.5,"iSolved
3.5","Charlotte, NC",-1,1001 to 5000 Employees,1986,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
Data Governance Analyst,$37K-$66K (Glassdoor est.),"Overview
Are you looking for a role where you can directly influence an organization in high growth mode? Do you have a knack for solving problems? Do you want to help drive the results of a multi-million-dollar business? If so, you may have found your next role.
We are looking for a self-motivated individual to join our Business Analytics team to manage the information flow for our organization, including the integrity, efficiency, and availability of data. You will participate in day-to-day data management and developing and implementing data standards. This role will also require developing credible and trusting relationships with senior leaders, managers and employees across the organization. Intellectual curiosity, ownership, and detail-orientation are requirements for the role and the department.
Responsibilities
Collect and refine data from various data sources
Develop and maintain datasets for BI tools
Develop, implement, and enforce data governance policies and processes
Develop, implement, and enforce data quality standards
Develop, implement, and maintain a master data strategy
Partner with and support analysts and other team members on data quality and data availability
Partner with IT to create methods for monitoring, troubleshooting, and resolving data issues
Create and maintain documentation, data dictionaries, etc.
Qualifications
Bachelor’s degree or equivalent experience
2+ years of relevant experience in analytics, finance, and/or IT
Strong technical skills and proficiency in data mining; ability to manipulate large datasets in a SQL or equivalent environment is a must
Strong analytical skills and proficiency in problem solving; ability to formulate a problem statement, identify and QC needed inputs, and produce and visualize the right outputs is a must
Strong modelling skills and proficiency in relational databases; ability to create new data systems and improve existing ones is a must
Experience with large-scale, shared data environments
Preferred qualifications
Familiarity with key concepts, such as ETL, MDM, RDBMS, etc.
About Strategic:
Strategic Financial Solutions is a leading consumer finance company that specializes in helping people that have too much credit card debt. We were recently named the 21st Best Company to Work for in New York by Best Companies to Work For and have been certified as a Great Place to Work 4 times. Additional honors include being named, two times, as one of the 50 fastest growing companies in New York City and to the prestigious Inc. 500 list as one of the 500 fastest growing companies in the United States.
Please mark @talent.icims.com as a safe sender to ensure recruiter emails don't go to spam",3.6,"Strategic Financial Solutions, LLC
3.6","New York, NY",-1,501 to 1000 Employees,2007,Company - Private,Consumer Product Rental,Consumer Services,Unknown / Non-Applicable,-1
Sr Data Analyst,$37K-$66K (Glassdoor est.),"Position location: Lake Mary, FLorBlue Bell, PA

Position Summary
The Senior Data Analyst drives pharma client analytics solutions for United BioSource Corporation (UBC), supporting many of the world’s largest pharmaceutical companies to improve patient lives, support drug safety programs, and help manage new Clinical studies.

Responsibilities

· Build and continually improve Tableau dashboard offerings for business partners.

· Monitor and analyze business performance, providing targeted dashboards and recommendations for operational improvement.

· Serve as Subject Matter Expert (SME) for business data, systems and processes under team’s area of support.

· Write and edit SQL code to ensure data is pulled optimally.

Required Qualifications

· BS in a technical field (BI, Analytics, Data Science, IS, Computer Science, etc).

· Advanced SQL skills.

· Advanced dashboard design skills, including 2+ years of experience with a dashboard toolset (Tableau, Qlik, Domo, Birst, etc).

· 2+ years of data analysis experience.

· Excellent communication and presentation ability.

· Excellent project management skills.

· Highly self-motivated.

Preferred Qualifications

· MS in a Data-related field (BI, Analytics, Data Science, etc).

· Expert-level SQL skills

· Expert-level Tableau skills.

· Advanced R skills.

· Healthcare (ideally pharma) experience.

·Minimal travel is required (

#LI-SF1",2.3,"United Biosource Corporation
2.3","Blue Bell, PA",-1,1001 to 5000 Employees,2003,Other Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),-1
Senior Healthcare Data Analyst - Contract Modeling Exp A Plus!,$37K-$66K (Glassdoor est.),"About Fallon Health
Founded in 1977, Fallon Health is a leading health care services organization that supports the diverse and changing needs of those we serve. In addition to offering innovative health insurance solutions and a variety of Medicaid and Medicare products, we excel in creating unique health care programs and services that provide coordinated, integrated care for seniors and individuals with complex health needs. Fallon has consistently ranked among the nation’s top health plans, and is accredited by the National Committee for Quality Assurance for its HMO, Medicare Advantage and Medicaid products. For more information, visit fallonhealth.org.
Brief Summary of Purpose: The Medical Economics Senior Analyst will partner with the Manager, Medical Economics as a subject matter expert in data and analysis, demonstrating an in-depth understanding of financial, clinical, and other business data. The position works directly with operational leadership in the design and development of analytical capabilities, reports, and dashboards needed for short and long-term decision-making to achieve success in managing care. This individual provides complex ad hoc analysis and reporting as directed by management to include the evaluation of financial, operational, clinical and general business programs and processes. The Senior Analyst is responsible for data quality and data integrity as they relate to reporting and analytical activities.

Analysis, Decision Support and Business Intelligence
Provide actionable analyses and reports that help monitor performance and drive decision making to reduce total medical expense and utilization
Assist in designing initiatives to impact cost drivers, including measurement and monitoring of initiatives. Identify the cost drivers, quantify variances, formulate and propose strategies and communicate the outcomes to customer, business owners and senior management
Evaluate the impact of current vs. proposed financial arrangements with providers; compare payment terms against Medicare and Medicaid reimbursement methodologies
Perform cost and utilization trend analyses at the provider, PHO, employer or other group variation.
Measure actual performance against benchmarks or targets
Provide advanced analytical and reporting support to customers on various projects
Leads or assists in process improvement and special projects
Regulatory & Clinical Model Design and Support
Provide support for regulatory reporting; analyze specifications to develop accurate responses or summaries for timely submissions
Provide analytical support for clinical initiatives including development, evaluation and ROI analyses
Evaluate the effectiveness of clinical initiatives in improving patient outcomes and reducing health care costs
Ad-Hoc Support
Provide support for ad-hoc (i.e. one time) requests that require clinical, financial, regulatory, pharmacy and operational analysis and reporting.
Prepare reports and supporting analysis for internal and external customers focused on reducing costs and utilization and enhancing healthcare system efficiency.
Act as a resource for other members of the department on business issues.
As a subject matter expert, train and guide other associates in the department in data understanding and analytical processes.

Education
Bachelor’s degree in Business, Finance or Public Health required
Experience
Minimum of 5 years of financial or analytical experience. Healthcare experience highly preferred.
Experience with data analysis, interpretation and reporting of clinical and financial data
Experience with Microsoft Excel, ACCESS, SSMS or SQL
Ability to design, evaluate and interpret complex data sets
Knowledge of managed care and health care claims
Excellent oral and written communication skills
Fallon Health provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.",2.8,"Fallon Health
2.8","Worcester, MA",-1,1001 to 5000 Employees,1977,Nonprofit Organization,Insurance Carriers,Insurance,$1 to $2 billion (USD),-1
"Analyst, Data Insights and Reporting",$37K-$66K (Glassdoor est.),"Our Company


About Us:

American Integrity Insurance, the premier writer of Florida homeowners insurance, has more than 290,000 customers and is exclusively represented by more than 1,000 independent agents who specialize in this complex and ever-evolving market. We offer sound and comprehensive home, condo, rental property and manufactured home insurance to families throughout the Sunshine State. Comprised of over 240 insurance professionals, most of whom work in our Tampa-area headquarters, we have been recognized as a Top Place to Work in Tampa by the Tampa Bay Times and a Best Places to Work in Insurance by Business Insurance magazine for the past seven years.

A Day in the Life:

Who Says Insurance Can’t Be Fun? From company picnics to charity events, no one can ever say American Integrity Insurance doesn’t understand the importance of having fun, helping others and giving back. Our company culture is priceless, and we hold true to our six core values: integrity, commitment, teamwork, humility, passion and fun. As a team working to provide home insurance solutions to our policyholders, together we aim to achieve greater heights each day and celebrate each other's accomplishments along the way. It is our mission to continue providing reliable, customer-centric homeowners insurance to Florida residents and paying claims in a timely manner when our customers suffer a loss – and to do so with Integrity.

Learn more about American Integrity Insurance and our job opportunities at www.aiicfl.com.

This Job


Title: Analyst, Data Insights and Reporting

The Data Insights Analyst works closely with the Data Insights team and key stakeholders within the organization to turn data into critical information and knowledge that can be used to make sound business decisions. The analyst is responsible for providing accurate, congruent and reliable data in an easily consumable format for leaders throughout the organization. The analyst will be responsible for developing automation logic using graphical programming software to automate system and data integration processes and back end business workflow processes. He/she will work with the Business Intelligence team to help develop, implement and maintain corporate data catalog, as well as educate key members of the organization on best practices in analyzing the data.

In addition, the Data Insights Analyst will work with other members of the IT team to determine business requirements and priorities, and develop team stategy and data warehouse strategy, which will include working with business and development teams to design and document dashboards, alerts and reports.

What You’ll Do
Communicate effectively across multiple departments and with stakeholders to review business requirements and propose solutions.
Maintain data integrity and ongoing quality of delivered solutions.
Analyze, design and build solutions using Tableau, Cognos, etc.
Support ad hoc reporting as necessary.
Identify data quality issues and work with appropriate teams to resolve them.
Create relational and dimensional models for BI related projects.
What You’ll Need to be a Top Candidate


Education:
Required: Bachelor’s Degree in Business, Mathematics, Economics, Finance, Statistics or related field.
Experience:
Zero (0) to Three (3) years of data analysis or business intelligence experience.
Expertise with Microsoft Excel, Tableau, Cognos,Power BI and/or R/Python preferred.
Experience in relational database concepts.
Experience in property and casualty insurance preferred.
Experience in designing and delivering cross-functional custom reporting solutions.
Experience with data visualization and reporting tools such as Tableau, QLIK, or Cognos Analytics.
Requires strong knowledge of SQL (T-SQL).
Other Skills:
Excellent oral and written communication skills including the ability to communicate effectively with both technical and non-technical stakeholders.
Analytical mind, critical thinker and problem solver.
Ability to work in cross-functional teams and communicate with colleagues in both business and technical roles.
Strong ability to interact, communicate, present and influence within multiple levels of the organization.
Excellent communication skills, both written and verbal.
Proven ability to meet tight deadlines, multi-task, and prioritize workload.
Ability to deal with ambiguity and competing objectives in a fast-paced environment
A work ethic based on a strong desire to exceed expectations.
Ability to take intiatives and approach all tasks and projects proactively.
Proven experience working in a team oriented, collaborative environment
Your Environment


Working Conditions: Normal business office environment. Must be able to remain in a stationary position for periods of time while constantly operating a computer and or other office productivity machinery such as a calculator or telephone. The person in this position needs to occasionally move about inside the office to access file cabinets, office machinery or communicate with coworkers.

Travel: As required.

ADA: The above statements cover what are generally believed to be the principal and essential functions of this job. Specific circumstances may allow or require some people assigned to the job to perform a somewhat different combination of job duties.

American Integrity Insurance Group is an Equal Opportunity Employer.",3.9,"American integrity insurance
3.9","Tampa, FL",-1,201 to 500 Employees,2006,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),-1
Data Analyst,$37K-$66K (Glassdoor est.),"Big Huge Games is looking for a qualified Data Analyst to help provide data insights to our games teams and upcoming BHG titles to assist them in making successful strategic and game direction decisions. This role works closely with our Product and Design teams to structure quantitative questions, gather player data, employ statistical methodology in analysis of the data, and construct insightful reporting and visualizations to communicate those results to the wider team.

This a full-time position onsite at our studio in Timonium, MD. No telecommuting or remote work options are available.
Due to the circumstances surrounding COVID19 positions may begin remote before transitioning to onsite.

Responsibilities
Provide reports and monitoring tools to assist team in daily game health assessment
Perform in-depth analysis of game metrics to inform and support both short and long-term product direction decisions
Communicate the results of analyses to the product team, game studio, and outside partners through data visualization and presentations
Qualifications
3-5 years experience with querying large complex data sets with SQL on relational databases
Several years experience performing quantitative analysis preferably with a games, web, or technology focus
High level of proficiency in data visualization tools such as Tableau, Excel, or equivalent
Passion for problem solving, from generating insightful questions to research, through presentation of results and follow-on steps
Track record of success working in fast-paced environments with shifting priorities and deadlines
Ability to work in both individual and team settings
Excellent organizational, communication, presentation, and interpersonal skills
Bachelor's degree in Mathematics, Statistics, Economics, Computer Science, or another quantitative field


This a full-time position onsite at our studio in Timonium, MD. No telecommuting or remote work options are available.
Due to the circumstances surrounding COVID19 positions may begin remote before transitioning to onsite.


Applicants should download DomiNations on iOS or Android and be prepared to discuss the game.",4.9,"Big Huge Games
4.9","Timonium, MD",-1,51 to 200 Employees,2013,Subsidiary or Business Segment,Video Games,Media,Unknown / Non-Applicable,-1
